countryname,countrycode,co2emissionspercap1990,co2emissionspercap2000,co2emissionspercap2010,co2emissionspercap2020,gdppercapitacurrentus1990,gdppercapitacurrentus2000,gdppercapitacurrentus2010,gdppercapitacurrentus2020,co2emissionskt1990,co2emissionskt2000,co2emissionskt2010,co2emissionskt2020,terrestrialandmarineprotectedare,forestareaoflandarea1990,forestareaoflandarea2000,forestareaoflandarea2010,forestareaoflandarea2020
Suriname,SUR,4.2639914,3.0906601,3.1952643,4.2850766,940.99176,1978.4467,7999.5073,4796.5332,1759.988,1480.42,1744.87,2601.3201,8.4830742,98.574554,98.338913,98.076027,97.412117
Slovak Republic,SVK,10.343435,7.0651655,6.5719509,5.3190546,2405.5352,5426.6245,16908.848,19552.092,54811.801,38072.199,35432.199,29035.801,37.587799,,39.530354,39.880852,40.056156
Slovenia,SVN,6.7706256,7.3113365,7.7015185,5.9347353,,10201.304,23532.48,25558.43,13528.8,14541.7,15777.2,12477.3,40.017384,,61.221451,61.89753,61.47226
Sweden,SWE,6.2328811,6.005055,5.1167474,3.2429891,30593.672,29624.912,52869.043,52837.902,53346.199,53277.5,47985.5,33576.102,14.695885,68.893356,69.138855,68.917908,68.699074
Eswatini,SWZ,1.2894448,1.0583253,.77205616,.9720875,1305.2455,1686.6576,4035.5344,3372.9045,1101.2,1090.6,849.20001,1147.7,4.2582645,26.810465,27.516279,28.222675,28.927906
Sint Maarten (Dutch part),SXM,,,,,,,,29223.07,,,,,8.1055346,,,,10.882353
Seychelles,SYC,2.2040946,3.6200712,4.9426312,6.0805182,5642.0728,8063.6548,10938.152,12020.021,153.2,293.70001,443.70001,598.70001,32.825436,73.260872,73.260872,73.260872,73.260872
Syrian Arab Republic,SYR,2.61005,2.7227154,2.7348864,1.2148025,1926.3846,4941.8525,11304.645,537.09021,32388.1,44401.102,61090.699,25234.6,.6628077,2.0245945,2.3510718,2.6797364,2.8431084
Turks and Caicos Islands,TCA,,,,,,,23103.943,20882.262,,,,,.38745123,11.073684,11.073684,11.073684,11.073684
Chad,TCD,.066740245,.061434992,.10004433,.094228186,298.36707,168.11766,896.87671,643.77222,388.89999,507.39999,1190,1568.4,20.971254,5.3446631,5.0452666,4.3916774,3.4251907
Togo,TGO,.25222224,.25339279,.40020663,.28606185,420.13669,297.89951,722.22937,886.69952,977.59998,1269,2630.1001,2415.1001,22.070374,25.035116,23.32164,22.777533,22.233315
Thailand,THA,1.5934879,2.6787775,3.5266819,3.7142558,1545.277,2004.1071,4996.3721,7001.7856,88005.797,168941.41,240768.3,265478.91,13.271458,37.89661,37.186089,39.290257,38.898785
Tajikistan,TJK,2.0336812,.35086414,.32104054,.97753304,485.31985,137.18192,740.27618,852.3302,11018.2,2200.97,2446.8999,9328.7998,22.278662,,2.9294083,2.9294083,3.053534
Turkmenistan,TKM,12.000796,8.4277496,11.232999,10.184086,806.39136,635.71448,4286.8804,7330.3662,44646.301,38507.5,59175.102,63655,3.2122376,,8.7821589,8.7821589,8.7821589
Timor-Leste,TLS,0,0,.22425644,.34315518,,417.73795,810.21649,1663.5596,0,0,244.10001,446.10001,5.188241,64.76799,63.826496,62.885002,61.943512
Tonga,TON,.85184395,1.0028946,1.0960766,1.1220477,1150.2813,1996.5156,3416.1106,4605.9707,84.099998,102.9,117.7,118.1,.07274428,12.430555,12.430555,12.430555,12.430555
